基金代碼,年季,alpha_Active_share,alpha_Concentration,alpha_HoldingAlpha,alpha_Carhart4Alpha,alpha_HBM,alpha_OneMinusR2,alpha_ReturnGap,alpha_TrackingError,alpha_TradingMoM
0002 第一金福元,2006Q2,0.53829709785454,3.4339872044851463,,,-0.007360958082098025,,0.010500726448111702,,-0.007360958082098025
0002 第一金福元,2006Q3,0.6285000484410674,3.713572066704308,,,0.10853597752977998,,-0.03465711406240027,,0.0908008645129649
0002 第一金福元,2006Q4,0.5336197637294671,3.6635616461296463,,,0.2713411339203746,,0.019646806898659094,0.04480418207507718,0.13278295546187244
0002 第一金福元,2007Q1,0.664853043488019,3.6888794541139363,0.016657160274232335,,0.39146689006365193,,-0.005053152565080696,0.042476004933623544,0.2533399313134562
0002 第一金福元,2007Q2,0.590977444881237,3.713572066704308,0.019617482656958774,,0.3880450792708481,,-0.030693199693452272,0.03610511924738437,0.25304061148580786
0002 第一金福元,2007Q3,0.6078223163463288,3.58351893845611,0.024254167061808468,,0.42937116768963796,,0.017014426050806913,0.05083062669058464,0.1488689829804493
0002 第一金福元,2007Q4,0.6070328227013216,3.5263605246161616,0.031607834800349885,,0.062178371125938506,,0.040817089789010746,0.04995927831791747,0.08306945824683203
0002 第一金福元,2008Q1,0.534938861808832,3.58351893845611,0.0245447189206286,,-0.2249760083939345,,0.004731621723069318,0.059140191358123116,0.036317423761778
0002 第一金福元,2008Q2,0.6992310041237522,3.4657359027997265,0.01629021058128278,-0.005497377517600679,0.013843866862130955,0.14723305751025273,-0.025400627127260378,0.05679750974614676,0.06277969777494855
0002 第一金福元,2008Q3,0.8809855410266334,3.044522437723423,0.011969937812398532,-0.006530242045195281,-0.33676634281984025,0.13584843245170164,0.07547546335484023,0.037696186445072714,-0.22280776045901257
0002 第一金福元,2008Q4,0.7756975944085236,3.1354942159291497,0.019638157581987354,-0.005663576664601339,-0.2631725609977971,0.13428609427277083,0.011569573274499784,0.03882722676856627,-0.16450153992937647
0002 第一金福元,2009Q1,0.7838028880077688,3.332204510175204,0.022397777384023976,-0.006846703869630046,0.02691610553154478,0.13630851597880544,-0.062102068055766485,0.034307042900224884,0.022931452827252508
0002 第一金福元,2009Q2,0.8523727055361632,3.295836866004329,0.007975844674366113,0.0006477775980963498,0.902232712114626,0.1919241739589339,-0.09183312559908274,0.056024919399310924,0.7454600990162228
0002 第一金福元,2009Q3,0.8457987490114529,3.1354942159291497,0.010917926175626707,-0.003974134520467763,1.1699194985471573,0.21804641799198532,-0.0863962054748705,0.06195442566444633,0.8578747776470008
0002 第一金福元,2009Q4,0.8392800723249825,3.6375861597263857,0.012828272798116942,-0.0036822960501313824,0.5580751562543598,0.2075853731395807,-0.03453519113158651,0.06005984771743023,0.4901809562032311
0002 第一金福元,2010Q1,0.8600895680346763,3.4011973816621555,0.007717850917391874,-0.005866099131628155,0.28075343331905755,0.19811054466107936,-0.0360489673262244,0.057319251137551486,0.23637168366997247
0002 第一金福元,2010Q2,0.8848838788866935,3.295836866004329,0.005059749733124121,-0.007793468792675935,-0.06329940247797887,0.19610605504573309,0.001145803877126178,0.02691202439172684,-0.025522358342840328
0002 第一金福元,2010Q3,0.8080950838152099,3.8918202981106265,0.02653534219736192,-0.01214517131711933,0.24804964528006318,0.16689699930223645,0.004252533353134594,0.016386666217504574,0.23698805446589782
0002 第一金福元,2010Q4,0.7404539269382677,3.970291913552122,0.01592678973662819,-0.012665893092350214,0.4200831005022946,0.17097727251795036,-0.03488553206764424,0.0181065174118192,0.3843039698767962
0002 第一金福元,2011Q1,0.586722606298209,4.343805421853684,0.011515344740092422,-0.012320335351611141,0.15768872154437816,0.17811450009699237,-0.017699432175356633,0.016153183548035722,0.1455388807804943
